torpedo,VBD,torpedoed
touch,JJ,touching
trifectum,NNS,trifecta
troubly,JJ,troubling
true,JJS,truest
trust,JJ,trusted
unaffiliate,JJ,unaffiliated
underappreciate,JJ,underappreciated
underrate,JJ,underrated
underrepresent,JJ,underrepresented
underserve,JJ,underserved
understate,JJ,understated
undraft,JJ,undrafted
undulaty,JJ,undulating
unfaze,JJ,unfazed
unfilter,JJ,unfiltered
unify,JJ,unified
unnerve,JJ,unnerved
unplow,JJ,unplowed
unreward,JJ,unrewarded
unsettly,JJ,unsettling
untax,JJ,untaxed
update,JJ,updated
verandum,NN,veranda
verson,RB,versa
vexy,JJ,vexing
visit,JJ,visited
wall,JJ,walled
warin,JJ,wariness
warp,JJ,warped
watersh,JJ,watershed
weave,VBP,wove
weeklo,JJ,weeklong
whatsoev,RB,whatsoever
wire,JJ,wired
wound,JJ,wounded
yearl,JJ,yearlong
yem,JJ,yemeni
